qa_id,step,country,map_no,template_no,source_index,ability_level,reward_pattern,correct_count,mean_reward,signal_class,clipped_ratio,entropy,grad_norm,selection_reason
mapwise_china_map4_4C_t9_src0591,142,china,map4_4C,9,591,L1,"0,0,1,0",1,0.25,mixed,0.0,0.3438034877181053,0.06884765625,retain_all_mixed_signal
mapwise_usa_map_1280_t34_src2332,145,usa,map_1280,34,2332,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.25,0.24007337540388107,0.0,balance_L3_hard_nonfullclip
mapwise_usa_map_8083_t34_src2545,147,usa,map_8083,34,2545,L3,"0,0,0,1",1,0.25,mixed,0.75,0.08482585102319717,0.0247802734375,retain_all_mixed_signal
mapwise_china_map8_6C_t19_src0992,148,china,map8_6C,19,992,L1,"1,0,0,0",1,0.25,mixed,0.0,0.24326542764902115,0.0169677734375,retain_all_mixed_signal
mapwise_india_map158_1C_t36_src1867,152,india,map158_1C,36,1867,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.36727605015039444,0.0,balance_L3_hard_nonfullclip
mapwise_india_map121_2C_t31_src1718,156,india,map121_2C,31,1718,L2,"1,0,1,1",3,0.75,mixed,0.25,0.23546212166547775,0.03564453125,retain_all_mixed_signal
mapwise_india_map138_0D_t22_src1801,159,india,map138_0D,22,1801,L2,"0,0,0,1",1,0.25,mixed,0.75,0.03268575668334961,0.044921875,retain_all_mixed_signal
mapwise_india_map97_6D_t24_src1603,160,india,map97_6D,24,1603,L2,"1,0,0,1",2,0.5,mixed,0.5,0.11406222358345985,0.06982421875,retain_all_mixed_signal
mapwise_india_map101_2D_t41_src1635,163,india,map101_2D,41,1635,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.3235994726419449,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_18402_t18_src2196,164,usa,map_18402,18,2196,L3,"0,0,0,1",1,0.25,mixed,0.75,0.11340048164129257,0.027099609375,retain_all_mixed_signal
mapwise_india_map7_5C_t9_src1069,167,india,map7_5C,9,1069,L1,"1,1,0,1",3,0.75,mixed,0.25,0.2841995656490326,0.03759765625,retain_all_mixed_signal
mapwise_usa_map_3689_t16_src2519,168,usa,map_3689,16,2519,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.14464128576219082,0.0,balance_L1_easy_all_correct
mapwise_usa_map_584_t32_src2459,169,usa,map_584,32,2459,L2,"0,0,1,1",2,0.5,mixed,0.25,0.148304782807827,0.0274658203125,retain_all_mixed_signal
mapwise_usa_map_20774_t16_src2979,170,usa,map_20774,16,2979,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.25,0.220298670232296,0.0,balance_L1_hard_nonfullclip
mapwise_india_map112_7D_t2_src1708,171,india,map112_7D,2,1708,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.22928963974118233,0.0,balance_L0_hard_nonfullclip
mapwise_india_map53_0C_t20_src1315,174,india,map53_0C,20,1315,L3,"0,1,0,1",2,0.5,mixed,0.5,0.20716817677021027,0.045166015625,retain_all_mixed_signal
mapwise_usa_map_16161_t36_src2917,177,usa,map_16161,36,2917,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.3234659507870674,0.0,balance_L3_easy_all_correct
mapwise_china_map16_0D_t5_src0399,178,china,map16_0D,5,399,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.12738683633506298,0.0,balance_L0_easy_all_correct
mapwise_usa_map_11274_t42_src2569,179,usa,map_11274,42,2569,L2,"1,0,0,0",1,0.25,mixed,0.0,0.2058146372437477,0.046630859375,retain_all_mixed_signal
mapwise_usa_map_20584_t9_src2665,180,usa,map_20584,9,2665,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.4041697606444359,0.0,balance_L1_easy_all_correct
mapwise_china_map6_3D_t5_src0298,181,china,map6_3D,5,298,L0,"0,1,1,1",3,0.75,mixed,0.0,0.2721487805247307,0.0206298828125,retain_all_mixed_signal
mapwise_usa_map_200_t9_src2067,183,usa,map_200,9,2067,L1,"0,1,0,0",1,0.25,mixed,0.75,0.09197558462619781,0.03662109375,retain_all_mixed_signal
mapwise_china_map13_4C_t30_src0674,185,china,map13_4C,30,674,L2,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.5,0.22046023607254028,0.0,balance_L2_hard_nonfullclip
mapwise_india_map100_4C_t34_src1621,186,india,map100_4C,34,1621,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.25,0.28192325681447983,0.0,balance_L3_hard_nonfullclip
mapwise_india_map9_2C_t20_src1093,187,india,map9_2C,20,1093,L3,"1,1,0,1",3,0.75,mixed,0.25,0.31742503494024277,0.03173828125,retain_all_mixed_signal
mapwise_usa_map_13_t33_src2281,188,usa,map_13,33,2281,L3,"1,1,0,1",3,0.75,mixed,0.25,0.2821323722600937,0.0274658203125,retain_all_mixed_signal
mapwise_usa_map_18348_t8_src2364,190,usa,map_18348,8,2364,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.08703513257205486,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_6616_t9_src2375,192,usa,map_6616,9,2375,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.13266715593636036,0.0,balance_L1_easy_all_correct
mapwise_india_map62_6C_t34_src1390,193,india,map62_6C,34,1390,L3,"1,0,0,0",1,0.25,mixed,1.0,0.0,0.0,retain_all_mixed_signal
mapwise_usa_map_1950_t16_src2410,194,usa,map_1950,16,2410,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.1028006561100483,0.0,balance_L1_easy_all_correct
mapwise_usa_map_17382_t4_src2586,195,usa,map_17382,4,2586,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.2110721617937088,0.0,balance_L0_hard_nonfullclip
mapwise_india_map131_6D_t39_src1761,199,india,map131_6D,39,1761,L2,"0,1,1,1",3,0.75,mixed,0.25,0.2197946533560753,0.026611328125,retain_all_mixed_signal
mapwise_usa_map_13283_t32_src2145,202,usa,map_13283,32,2145,L2,"1,0,1,0",2,0.5,mixed,0.5,0.16138453036546707,0.02783203125,retain_all_mixed_signal
mapwise_india_map68_0C_t22_src1427,203,india,map68_0C,22,1427,L2,"0,0,1,1",2,0.5,mixed,0.5,0.17037270218133926,0.043701171875,retain_all_mixed_signal
mapwise_india_map44_6D_t18_src1284,206,india,map44_6D,18,1284,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.24314112588763237,0.0,balance_L3_easy_all_correct
mapwise_india_map166_7D_t42_src1928,211,india,map166_7D,42,1928,L2,"1,0,1,1",3,0.75,mixed,0.25,0.16522560641169548,0.0238037109375,retain_all_mixed_signal
mapwise_china_map13_0D_t16_src0556,214,china,map13_0D,16,556,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.2267056219279766,0.0,balance_L1_hard_nonfullclip
mapwise_india_map10_8C_t10_src1116,215,india,map10_8C,10,1116,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.4340543672442436,0.0,balance_L1_easy_all_correct
mapwise_usa_map_2453_t4_src2419,216,usa,map_2453,4,2419,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.11001225374639034,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_7432_t36_src2738,218,usa,map_7432,36,2738,L3,"0,1,1,1",3,0.75,mixed,0.25,0.18092897161841393,0.01171875,retain_all_mixed_signal
mapwise_usa_map_10436_t4_src2274,219,usa,map_10436,4,2274,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.14273107796907425,0.0,balance_L0_hard_nonfullclip
mapwise_india_map156_2D_t41_src1848,220,india,map156_2D,41,1848,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.2435513772070408,0.0,balance_L0_hard_nonfullclip
mapwise_india_map89_4D_t8_src1505,221,india,map89_4D,8,1505,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.10345759242773056,0.0,balance_L0_hard_nonfullclip
mapwise_china_map17_4C_t41_src0155,222,china,map17_4C,41,155,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.25600897893309593,0.0,balance_L0_easy_all_correct
mapwise_china_map5_1C_t16_src0223,223,china,map5_1C,16,223,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.36391034722328186,0.0,balance_L1_hard_nonfullclip
mapwise_india_map101_2D_t13_src1639,227,india,map101_2D,13,1639,L2,"0,0,0,1",1,0.25,mixed,0.75,0.05527428910136223,0.04736328125,retain_all_mixed_signal
